order_id,name_id
12,"[0, 1]"
22,"[3, 4]"
23,"[5, 6]"
25,"[7, 8, 9]"
27,"[10, 11, 12]"
29,"[13, 14]"
31,"[15, 13, 14]"
36,"[16, 17]"
37,"[18, 17]"
38,"[18, 16]"
41,"[19, 20]"
58,"[21, 22, 23]"
64,"[24, 25, 26]"
82,"[27, 28]"
90,"[29, 26]"
100,"[30, 31]"
110,"[34, 35]"
125,"[36, 37, 38]"
138,"[41, 42]"
139,"[43, 44, 45]"
140,"[44, 45]"
141,"[43, 44, 45]"
146,"[46, 47]"
148,"[48, 49, 50]"
149,"[51, 50]"
167,"[52, 53]"
168,"[53, 54]"
172,"[55, 56]"
179,"[57, 58]"
191,"[59, 61, 62, 60]"
198,"[0, 64]"
203,"[65, 14]"
209,"[69, 70]"
231,"[75, 76]"
236,"[79, 80]"
240,"[81, 82, 83, 84]"
244,"[85, 86]"
246,"[85, 87]"
248,"[85, 87]"
256,"[88, 89]"
260,"[55, 93]"
262,"[93, 94]"
263,"[94, 95]"
264,"[93, 94]"
278,"[36, 99]"
282,"[100, 101]"
284,"[102, 103]"
285,"[104, 105]"
288,"[106, 107]"
290,"[108, 109]"
298,"[110, 111]"
319,"[112, 113]"
340,"[116, 117]"
341,"[118, 119]"
344,"[118, 121]"
346,"[118, 121, 122]"
347,"[118, 121]"
348,"[118, 121]"
349,"[123, 124]"
351,"[125, 126]"
355,"[127, 128, 129]"
370,"[130, 131, 132, 133]"
371,"[134, 135]"
385,"[138, 139]"
391,"[140, 141]"
399,"[143, 144]"
400,"[27, 28]"
402,"[48, 145]"
405,"[146, 147]"
420,"[154, 155]"
421,"[156, 153]"
422,"[96, 157]"
425,"[158, 159, 160, 161, 162, 163, 164]"
460,"[18, 16]"
464,"[138, 166]"
471,"[19, 169]"
475,"[170, 171]"
476,"[170, 171]"
477,"[170, 171, 172, 173]"
498,"[162, 178, 179, 180, 181]"
499,"[162, 178, 179, 180, 181]"
500,"[162, 178, 179, 180]"
501,"[182, 183, 184]"
502,"[185, 186, 187]"
507,"[188, 126, 189]"
508,"[188, 190]"
513,"[44, 45, 191]"
516,"[192, 193, 194]"
520,"[198, 199]"
521,"[199, 200]"
523,"[201, 202, 203]"
539,"[204, 205, 206]"
549,"[154, 207]"
551,"[55, 208]"
560,"[211, 24]"
567,"[212, 213]"
577,"[48, 214, 215]"
578,"[216, 217, 218]"
597,"[219, 220, 221]"
606,"[122, 114, 222]"
608,"[223, 114]"
618,"[226, 158, 159, 161, 180]"
619,"[227, 228]"
623,"[182, 229, 230]"
627,"[94, 32, 231]"
628,"[232, 116]"
630,"[232, 116]"
631,"[233, 174]"
636,"[234, 235]"
637,"[0, 68]"
663,"[238, 239]"
672,"[240, 241]"
692,"[242, 243, 244]"
709,"[245, 78]"
712,"[27, 241]"
716,"[246, 28, 142]"
719,"[247, 248]"
757,"[253, 254]"
761,"[255, 256]"
770,"[257, 258]"
776,"[88, 259, 225]"
777,"[147, 260, 261]"
778,"[147, 262]"
785,"[245, 264, 265]"
792,"[266, 152]"
805,"[269, 270, 271, 240, 241]"
807,"[159, 272]"
811,"[182, 4]"
812,"[273, 6]"
813,"[273, 274]"
841,"[279, 280]"
842,"[48, 281]"
844,"[282, 283]"
857,"[181, 161, 162, 179]"
858,"[181, 161, 162, 179]"
866,"[286, 287]"
868,"[288, 289]"
869,"[49, 289]"
875,"[290, 32]"
882,"[291, 113]"
891,"[292, 293]"
909,"[300, 301, 23]"
911,"[302, 303]"
913,"[304, 305, 306]"
915,"[39, 307]"
927,"[93, 57, 58]"
931,"[308, 309]"
940,"[310, 311, 312, 313, 314, 315]"
941,"[316, 138]"
949,"[317, 318]"
955,"[319, 260]"
960,"[320, 321, 322]"
962,"[95, 323]"
965,"[324, 325, 323]"
969,"[326, 114]"
978,"[259, 327]"
979,"[38, 328]"
983,"[329, 330, 331, 332, 333]"
984,"[334, 335]"
985,"[336, 157]"
986,"[66, 337, 338]"
992,"[339, 340]"
995,"[341, 342]"
1010,"[343, 107]"
1011,"[344, 345]"
1017,"[346, 215]"
1027,"[347, 348]"
1028,"[347, 348]"
1029,"[347, 348]"
1031,"[21, 52]"
1040,"[268, 68]"
1051,"[324, 351]"
1055,"[29, 352, 25]"
1061,"[21, 353]"
1066,"[205, 356]"
1068,"[357, 358]"
1071,"[48, 281, 359]"
1072,"[360, 281, 48]"
1073,"[360, 361, 48]"
1074,"[48, 281, 362]"
1075,"[360, 363, 145, 48]"
1076,"[48, 281]"
1077,"[364, 365]"
1078,"[365, 366]"
1080,"[360, 281, 48]"
1081,"[360, 281, 48]"
1085,"[367, 205]"
1092,"[368, 369]"
1099,"[242, 370]"
1111,"[371, 73, 234]"
1112,"[372, 74]"
1114,"[343, 197]"
1123,"[375, 376]"
1127,"[377, 378]"
1141,"[379, 157]"
1142,"[161, 380, 381]"
1146,"[382, 237]"
1150,"[245, 383]"
1152,"[384, 245]"
1155,"[385, 53, 301, 22]"
1156,"[386, 3]"
1164,"[10, 387, 388]"
1171,"[385, 389, 22]"
1172,"[52, 389, 22]"
1173,"[385, 389, 22]"
1175,"[9, 390]"
1179,"[392, 393, 14, 391]"
1185,"[394, 332, 395]"
1187,"[48, 396]"
1193,"[296, 397]"
1194,"[331, 296, 332]"
1195,"[331, 296, 398, 399]"
1200,"[339, 401, 402, 399]"
1213,"[83, 82, 284]"
1214,"[21, 23]"
1215,"[403, 345]"
1222,"[406, 133, 407, 408, 409]"
1225,"[258, 410, 411]"
1226,"[338, 412]"
1235,"[93, 413]"
1239,"[414, 286]"
1247,"[415, 416]"
1281,"[418, 419]"
1286,"[72, 323]"
1290,"[120, 123]"
1295,"[420, 123, 124]"
1303,"[421, 355]"
1314,"[422, 423]"
1316,"[424, 4]"
1318,"[425, 145]"
1328,"[406, 20]"
1340,"[427, 428, 429]"
1342,"[160, 380, 178]"
1345,"[430, 431, 344]"
1354,"[384, 432, 433]"
1355,"[432, 434]"
1364,"[147, 435]"
1367,"[282, 97, 436]"
1376,"[21, 23]"
1377,"[21, 23]"
1382,"[426, 440]"
1383,"[169, 440]"
1389,"[445, 446]"
1390,"[445, 446]"
1396,"[58, 313]"
1401,"[447, 169]"
